NodeA,NodeB,Weights
31,1581,1.0
31,12998,1.0
31,9201,1.0
31,5067,1.0
31,5455,1.0
31,9146,1.0
31,10600,1.0
31,8421,0.0
31,3947,0.0
32,9241,1.0
32,8677,1.0
32,12566,1.0
32,4796,1.0
32,8158,1.0
32,8790,1.0
32,4723,1.0
32,8545,1.0
32,6573,1.0
32,4084,1.0
33,9225,1.0
33,2159,1.0
33,12321,1.0
33,5000,1.0
33,1585,1.0
33,3539,1.0
33,7651,1.0
33,11759,1.0
33,10115,1.0
33,5849,0.0
34,2098,1.0
34,9685,1.0
34,1951,1.0
34,3160,1.0
34,4302,1.0
34,9875,1.0
34,10624,1.0
34,7001,1.0
34,7852,1.0
34,2862,0.0
35,3912,1.0
35,884,1.0
35,6545,1.0
35,8952,1.0
35,1131,1.0
35,11046,1.0
35,2949,1.0
35,6157,0.0
35,9489,0.0
35,3722,0.0
36,8543,1.0
36,2667,1.0
36,9146,1.0
36,8622,1.0
36,9521,1.0
36,8696,1.0
36,4587,1.0
36,8500,0.0
36,9188,0.0
36,3703,0.0
37,2993,1.0
37,12658,1.0
37,5397,1.0
37,3502,1.0
37,8258,1.0
37,10345,1.0
37,11202,1.0
37,7524,1.0
37,11343,0.0
37,5159,0.0
38,5952,1.0
38,1553,1.0
38,11657,1.0
38,12140,1.0
38,2363,1.0
38,7402,1.0
38,6487,1.0
38,13023,1.0
38,4364,1.0
38,2840,0.0
39,8158,1.0
39,808,1.0
39,9669,1.0
39,5723,1.0
39,7986,1.0
39,12921,1.0
39,1678,1.0
39,9818,1.0
39,12650,1.0
39,9208,1.0
40,8612,1.0
40,9957,1.0
40,3299,1.0
40,6118,1.0
40,1845,1.0
40,11433,1.0
40,1996,1.0
40,12257,1.0
40,7858,1.0
40,2198,1.0
41,11896,1.0
41,12256,1.0
41,2434,1.0
41,3994,1.0
41,10422,1.0
41,6410,1.0
41,11057,1.0
41,1329,1.0
41,10149,0.0
41,2885,0.0
42,11273,1.0
42,9238,1.0
42,4631,1.0
42,3390,1.0
42,12716,1.0
42,587,1.0
42,4519,1.0
42,4809,1.0
42,7937,0.0
42,9788,0.0
43,11900,1.0
43,3708,1.0
43,11007,1.0
43,412,1.0
43,9272,1.0
43,524,1.0
43,3280,1.0
43,9779,1.0
43,5358,1.0
43,8482,1.0
44,9942,1.0
44,2608,1.0
44,10542,1.0
44,12044,1.0
44,9454,1.0
44,3862,1.0
44,5013,1.0
44,13022,1.0
44,9507,0.0
44,5573,0.0
45,9483,1.0
45,9881,1.0
45,8125,1.0
45,3207,1.0
45,12236,1.0
45,7131,1.0
45,7085,1.0
45,9443,1.0
45,7860,0.0
45,5979,0.0
46,6868,1.0
46,6861,1.0
46,3986,1.0
46,9247,1.0
46,3161,1.0
46,4985,1.0
46,1357,1.0
46,8182,1.0
46,7377,0.0
46,5458,0.0
47,6960,1.0
47,1263,1.0
47,6671,1.0
47,8881,1.0
47,1541,1.0
47,2132,1.0
47,1691,1.0
47,9345,1.0
47,1463,1.0
47,13026,1.0
48,4617,1.0
48,3616,1.0
48,4526,1.0
48,4365,1.0
48,8475,1.0
48,13049,1.0
48,8519,1.0
48,390,1.0
48,9834,1.0
48,1304,0.0
49,5589,1.0
49,10445,1.0
49,11295,1.0
49,12035,1.0
49,6644,1.0
49,12282,1.0
49,3309,1.0
49,51,1.0
49,4008,1.0
49,3722,0.0
50,861,1.0
50,12194,1.0
50,1269,1.0
50,3770,1.0
50,10854,1.0
50,4982,1.0
50,6492,1.0
50,2179,1.0
50,4601,1.0
50,7538,1.0
51,949,1.0
51,7292,1.0
51,560,1.0
51,5833,1.0
51,49,1.0
51,9391,1.0
51,9121,1.0
51,504,1.0
51,8659,1.0
51,6877,1.0
52,949,1.0
52,3389,1.0
52,9178,1.0
52,4435,1.0
52,7986,1.0
52,8115,1.0
52,8345,1.0
52,3880,1.0
52,7386,0.0
52,1997,0.0
53,6059,1.0
53,6485,1.0
53,5904,1.0
53,11279,1.0
53,9491,1.0
53,2178,1.0
53,6535,1.0
53,516,1.0
53,29,0.0
53,4964,0.0
54,7831,1.0
54,4609,1.0
54,8297,1.0
54,7364,1.0
54,10733,1.0
54,1503,1.0
54,148,1.0
54,5866,0.0
54,9409,0.0
54,3868,0.0
55,9007,1.0
55,5900,1.0
55,8805,1.0
55,7550,1.0
55,12120,1.0
55,4959,1.0
55,8139,1.0
55,13193,1.0
